frame.number,frame.time_relative,frame.time_delta,frame.len,ip.proto,ip.version,ip.src,eth.src,ip.dst,eth.dst,mbtcp.modbus.unit_id,tcp.srcport,tcp.dstport,mbtcp.prot_id,mbtcp.trans_id,mbtcp.len,mbtcp.modbus.func_code,mbtcp.modbus.reference_num,mbtcp.modbus.word_cnt,mbtcp.modbus.data
2161,32.336076000,0.009308000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,8,5,4,,,00:54
2162,32.336396000,0.000320000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,9,6,4,1,1,
2163,32.346367000,0.009971000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,9,5,4,,,00:54
2164,32.346700000,0.000333000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,10,6,4,1,1,
2165,32.356095000,0.009395000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,10,5,4,,,00:54
2166,32.356428000,0.000333000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,11,6,4,1,1,
2167,32.366073000,0.009645000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,11,5,4,,,00:54
2168,32.366413000,0.000340000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,12,6,4,1,1,
2169,32.376095000,0.009682000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,12,5,4,,,00:54
2170,32.576076000,0.199981000,60,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,,1202,502,,,,,,,
2171,32.706342000,0.130266000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,13,6,4,2,1,
2172,32.715139000,0.008797000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,13,5,4,,,14:26
2173,32.715497000,0.000358000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,14,6,4,0,1,
2174,32.724580000,0.009083000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,14,5,4,,,00:70
2175,32.724941000,0.000361000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,15,6,4,0,1,
2176,32.734558000,0.009617000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,15,5,4,,,00:70
2177,32.734958000,0.000400000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,16,6,4,0,1,
2178,32.746072000,0.011114000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,16,5,4,,,00:70
2179,32.746384000,0.000312000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,17,6,4,0,1,
2180,32.756134000,0.009750000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,17,5,4,,,00:70
2181,32.756420000,0.000286000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,18,6,4,1,1,
2182,32.766131000,0.009711000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,18,5,4,,,00:54
